,critic_name,top_critic,critic_publication,review_icon,review_quote,review_link,date_published,season,language,pos_tag,wordnet_pos,review_quote_processed
54,Christopher Lawrence,False,Las Vegas Review-Journal,fresh,"['better', 'call', 'saul', 'worthy', 'successor', 'one', 'keeps', 'spirit', 'heisenberg', ""'s"", 'world', 'alive', 'without', 'diminishing']",http://www.reviewjournal.com/columns-blogs/christopher-lawrence/dark-seedy-soul-breaking-bad-lives-vibrantly-better-call-saul,"Feb 5, 2015",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('worthy', 'NN'), ('successor', 'NN'), ('one', 'CD'), ('keeps', 'VBZ'), ('spirit', 'NN'), ('heisenberg', 'NN'), (""'s"", 'POS'), ('world', 'NN'), ('alive', 'NN'), ('without', 'IN'), ('diminishing', 'VBG')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('worthy', 'n'), ('successor', 'n'), ('one', 'n'), ('keeps', 'v'), ('spirit', 'n'), ('heisenberg', 'n'), (""'s"", 'n'), ('world', 'n'), ('alive', 'n'), ('without', 'n'), ('diminishing', 'v')]",well call saul worthy successor one keep spirit heisenberg 's world alive without diminish
55,Andy Greenwald,True,Grantland,fresh,"['sense', 'playfulness', 'fun', 'welcome', 'break', 'meth', 'business', 'feels', 'like', 'blessed', 'antidote', 'untold', 'hours', 'grim', 'cable', 'dramatics']",http://grantland.com/hollywood-prospectus/yes-its-good-amcs-big-better-call-saul-bet-pays-off/,"Feb 4, 2015",1,en,"[('sense', 'NN'), ('playfulness', 'NN'), ('fun', 'NN'), ('welcome', 'JJ'), ('break', 'NN'), ('meth', 'NN'), ('business', 'NN'), ('feels', 'NNS'), ('like', 'IN'), ('blessed', 'JJ'), ('antidote', 'NN'), ('untold', 'JJ'), ('hours', 'NNS'), ('grim', 'VBP'), ('cable', 'NN'), ('dramatics', 'NNS')]","[('sense', 'n'), ('playfulness', 'n'), ('fun', 'n'), ('welcome', 'a'), ('break', 'n'), ('meth', 'n'), ('business', 'n'), ('feels', 'n'), ('like', 'n'), ('blessed', 'a'), ('antidote', 'n'), ('untold', 'a'), ('hours', 'n'), ('grim', 'v'), ('cable', 'n'), ('dramatics', 'n')]",sense playfulness fun welcome break meth business feel like blessed antidote untold hour grim cable dramatics
56,David Wiegand,True,San Francisco Chronicle,fresh,"['good', 'breaking', 'bad', 'moments', 'possibility', 'out-and-out', 'hope', 'care', 'focused', 'sense', 'gould', 'gilligan', 'want', 'unlikely', 'lead', 'character', 'saul', 'might', 'worth', 'weekly', 'call']",http://www.sfgate.com/tv/article/TV-Don-t-hang-up-on-Breaking-Bad-spin-off-6062113.php,"Feb 4, 2015",1,en,"[('good', 'JJ'), ('breaking', 'NN'), ('bad', 'JJ'), ('moments', 'NNS'), ('possibility', 'NN'), ('out-and-out', 'IN'), ('hope', 'NN'), ('care', 'NN'), ('focused', 'VBD'), ('sense', 'NN'), ('gould', 'NN'), ('gilligan', 'NN'), ('want', 'VBP'), ('unlikely', 'JJ'), ('lead', 'JJ'), ('character', 'NN'), ('saul', 'NN'), ('might', 'MD'), ('worth', 'VB'), ('weekly', 'RB'), ('call', 'NN')]","[('good', 'a'), ('breaking', 'n'), ('bad', 'a'), ('moments', 'n'), ('possibility', 'n'), ('out-and-out', 'n'), ('hope', 'n'), ('care', 'n'), ('focused', 'v'), ('sense', 'n'), ('gould', 'n'), ('gilligan', 'n'), ('want', 'v'), ('unlikely', 'a'), ('lead', 'a'), ('character', 'n'), ('saul', 'n'), ('might', 'n'), ('worth', 'v'), ('weekly', 'r'), ('call', 'n')]",good breaking bad moment possibility out-and-out hope care focus sense gould gilligan want unlikely lead character saul might worth weekly call
57,Brian Tallerico,True,RogerEbert.com,fresh,"['better', 'call', 'saul', 'great', 'show', 'context', 'program', 'birthed', 'existence', 'would', 'great', 'show', 'without', 'walter', 'white']",http://www.rogerebert.com/demanders/confident-brilliant-better-call-saul-returns-viewers-to-world-of-breaking-bad,"Feb 4, 2015",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'VBZ'), ('great', 'JJ'), ('show', 'NN'), ('context', 'JJ'), ('program', 'NN'), ('birthed', 'VBN'), ('existence', 'NN'), ('would', 'MD'), ('great', 'JJ'), ('show', 'VB'), ('without', 'IN'), ('walter', 'JJR'), ('white', 'JJ')]","[('better', 'r'), ('call', 'n'), ('saul', 'v'), ('great', 'a'), ('show', 'n'), ('context', 'a'), ('program', 'n'), ('birthed', 'v'), ('existence', 'n'), ('would', 'n'), ('great', 'a'), ('show', 'v'), ('without', 'n'), ('walter', 'a'), ('white', 'a')]",well call saul great show context program birth existence would great show without walter white
58,David Bianculli,True,NPR,fresh,"['better', 'call', 'saul', 'stands', 'right', 'alongside', 'breaking', 'bad', 'stunningly', 'entertaining', 'tv', 'series', 'stands']",http://www.npr.org/2015/02/04/383785664/better-call-saul-the-prequel-to-breaking-bad-is-as-good-as-the-first,"Feb 4, 2015",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('stands', 'VBZ'), ('right', 'JJ'), ('alongside', 'IN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('stunningly', 'RB'), ('entertaining', 'JJ'), ('tv', 'NN'), ('series', 'NN'), ('stands', 'NNS')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('stands', 'v'), ('right', 'a'), ('alongside', 'n'), ('breaking', 'v'), ('bad', 'a'), ('stunningly', 'r'), ('entertaining', 'a'), ('tv', 'n'), ('series', 'n'), ('stands', 'n')]",well call saul stand right alongside break bad stunningly entertaining tv series stand
59,David Hinckley,True,New York Daily News,fresh,"['saul', 'picks', 'plot', 'speed', 'rapidly', 'end', 'first', 'hour', 'beginning', 'however', 'deliberate', 'almost', 'hypnotic', 'shot', 'time', 'see', 'falls', 'right', 'pocket', 'breaking', 'bad', 'fans']",http://www.nydailynews.com/entertainment/tv/better-call-saul-tv-review-article-1.2100810,"Feb 4, 2015",1,en,"[('saul', 'NN'), ('picks', 'NNS'), ('plot', 'VBP'), ('speed', 'NN'), ('rapidly', 'RB'), ('end', 'VBP'), ('first', 'JJ'), ('hour', 'NN'), ('beginning', 'VBG'), ('however', 'RB'), ('deliberate', 'VB'), ('almost', 'RB'), ('hypnotic', 'JJ'), ('shot', 'NN'), ('time', 'NN'), ('see', 'VBP'), ('falls', 'NNS'), ('right', 'RB'), ('pocket', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('fans', 'NNS')]","[('saul', 'n'), ('picks', 'n'), ('plot', 'v'), ('speed', 'n'), ('rapidly', 'r'), ('end', 'v'), ('first', 'a'), ('hour', 'n'), ('beginning', 'v'), ('however', 'r'), ('deliberate', 'v'), ('almost', 'r'), ('hypnotic', 'a'), ('shot', 'n'), ('time', 'n'), ('see', 'v'), ('falls', 'n'), ('right', 'r'), ('pocket', 'n'), ('breaking', 'v'), ('bad', 'a'), ('fans', 'n')]",saul pick plot speed rapidly end first hour begin however deliberate almost hypnotic shot time see fall right pocket break bad fan
60,Chuck Barney,False,Contra Costa Times,fresh,"['thankfully', 'odenkirk', 'remains', 'worth', 'watching', 'hoot', 'see', 'character', 'slip', '``', 'showtime', ""''"", 'mode', 'spout', 'random', 'lines', 'movies', 'try', 'tap-dance', 'way', 'trouble']",http://www.mercurynews.com/entertainment/ci_27428616/review-better-call-saul-delves-into-past-life,"Feb 3, 2015",1,en,"[('thankfully', 'RB'), ('odenkirk', 'JJ'), ('remains', 'VBZ'), ('worth', 'JJ'), ('watching', 'VBG'), ('hoot', 'NN'), ('see', 'VBP'), ('character', 'JJR'), ('slip', 'NN'), ('``', '``'), ('showtime', 'JJ'), (""''"", ""''""), ('mode', 'NN'), ('spout', 'NN'), ('random', 'NN'), ('lines', 'NNS'), ('movies', 'NNS'), ('try', 'VBP'), ('tap-dance', 'JJ'), ('way', 'NN'), ('trouble', 'NN')]","[('thankfully', 'r'), ('odenkirk', 'a'), ('remains', 'v'), ('worth', 'a'), ('watching', 'v'), ('hoot', 'n'), ('see', 'v'), ('character', 'a'), ('slip', 'n'), ('``', 'n'), ('showtime', 'a'), (""''"", 'n'), ('mode', 'n'), ('spout', 'n'), ('random', 'n'), ('lines', 'n'), ('movies', 'n'), ('try', 'v'), ('tap-dance', 'a'), ('way', 'n'), ('trouble', 'n')]",thankfully odenkirk remain worth watch hoot see character slip `` showtime '' mode spout random line movie try tap-dance way trouble
61,Jeff Jensen,True,Entertainment Weekly,fresh,"['character', 'study', 'postmodern', 'willy', 'loman', 'satire', 'self-creation', 'subversive', 'poke', 'find', 'wish', 'fulfillment', 'antihero', 'fantasy', 'better', 'call', 'saul', 'promise', 'purpose']",http://www.ew.com/article/2015/01/21/better-call-saul,"Feb 2, 2015",1,en,"[('character', 'NN'), ('study', 'NN'), ('postmodern', 'JJ'), ('willy', 'RB'), ('loman', 'JJ'), ('satire', 'NN'), ('self-creation', 'NN'), ('subversive', 'JJ'), ('poke', 'NN'), ('find', 'VBP'), ('wish', 'JJ'), ('fulfillment', 'NN'), ('antihero', 'NN'), ('fantasy', 'NN'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('promise', 'NN'), ('purpose', 'NN')]","[('character', 'n'), ('study', 'n'), ('postmodern', 'a'), ('willy', 'r'), ('loman', 'a'), ('satire', 'n'), ('self-creation', 'n'), ('subversive', 'a'), ('poke', 'n'), ('find', 'v'), ('wish', 'a'), ('fulfillment', 'n'), ('antihero', 'n'), ('fantasy', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('promise', 'n'), ('purpose', 'n')]",character study postmodern willy loman satire self-creation subversive poke find wish fulfillment antihero fantasy well call saul promise purpose
62,Chuck Bowen,True,Slant Magazine,fresh,"['better', 'call', 'saul', 'nifty', 'promising', 'comic', 'noir', 'also', 'allows', 'ponder', 'certain', 'missed', 'opportunities']",http://www.slantmagazine.com/tv/review/better-call-saul-season-one,"Feb 2, 2015",1,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('nifty', 'JJ'), ('promising', 'VBG'), ('comic', 'JJ'), ('noir', 'NN'), ('also', 'RB'), ('allows', 'VBZ'), ('ponder', 'NN'), ('certain', 'JJ'), ('missed', 'JJ'), ('opportunities', 'NNS')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('nifty', 'a'), ('promising', 'v'), ('comic', 'a'), ('noir', 'n'), ('also', 'r'), ('allows', 'v'), ('ponder', 'n'), ('certain', 'a'), ('missed', 'a'), ('opportunities', 'n')]",well call saul nifty promise comic noir also allow ponder certain missed opportunity
63,Willa Paskin,True,Slate,fresh,"['first', 'episode', 'sort', 'shaggy', 'character', 'sketch', 'meandering', 'along', 'abrupt', 'welcome', 'breaking', 'bad-style', 'cliffhanger']",http://www.slate.com/articles/arts/television/2015/01/better_call_saul_review_amc_s_breaking_bad_spinoff_is_a_superhero_origin.html,"Jan 30, 2015",1,en,"[('first', 'RB'), ('episode', 'JJ'), ('sort', 'NN'), ('shaggy', 'JJ'), ('character', 'NN'), ('sketch', 'NN'), ('meandering', 'VBG'), ('along', 'RB'), ('abrupt', 'JJ'), ('welcome', 'JJ'), ('breaking', 'VBG'), ('bad-style', 'JJ'), ('cliffhanger', 'NN')]","[('first', 'r'), ('episode', 'a'), ('sort', 'n'), ('shaggy', 'a'), ('character', 'n'), ('sketch', 'n'), ('meandering', 'v'), ('along', 'r'), ('abrupt', 'a'), ('welcome', 'a'), ('breaking', 'v'), ('bad-style', 'a'), ('cliffhanger', 'n')]",first episode sort shaggy character sketch meander along abrupt welcome break bad-style cliffhanger
64,Anthony O'Connor,False,FILMINK (Australia),fresh,"['gilligan', 'set', 'another', 'dark', 'subversive', 'journey', 'fan-servicing', 'callback', 'fest']",http://www.filmink.com.au/reviews/better-call-saul-digital/,"Jan 29, 2015",1,en,"[('gilligan', 'NN'), ('set', 'VBN'), ('another', 'DT'), ('dark', 'JJ'), ('subversive', 'JJ'), ('journey', 'NN'), ('fan-servicing', 'JJ'), ('callback', 'NN'), ('fest', 'NN')]","[('gilligan', 'n'), ('set', 'v'), ('another', 'n'), ('dark', 'a'), ('subversive', 'a'), ('journey', 'n'), ('fan-servicing', 'a'), ('callback', 'n'), ('fest', 'n')]",gilligan set another dark subversive journey fan-servicing callback fest
65,Maureen Ryan,True,Huffington Post,fresh,"['shows', 'wish', 'could', 'reach', 'level', 'aesthetic', 'mastery', 'better', 'call', 'saul', 'demonstrates', 'gate', 'counterintuitive', 'hope', 'new', 'amc', 'drama', 'gets', 'messier', 'less', 'controlled', 'less', 'perfectionist', 'tendencies']",http://www.huffingtonpost.com/2015/01/23/better-call-saul-review_n_6533958.html?utm_hp_ref=maureen-ryan,"Jan 26, 2015",1,en,"[('shows', 'NNS'), ('wish', 'WRB'), ('could', 'MD'), ('reach', 'VB'), ('level', 'JJ'), ('aesthetic', 'JJ'), ('mastery', 'NN'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('demonstrates', 'VBZ'), ('gate', 'JJ'), ('counterintuitive', 'JJ'), ('hope', 'NN'), ('new', 'JJ'), ('amc', 'JJ'), ('drama', 'NN'), ('gets', 'VBZ'), ('messier', 'JJR'), ('less', 'RBR'), ('controlled', 'JJ'), ('less', 'RBR'), ('perfectionist', 'JJ'), ('tendencies', 'NNS')]","[('shows', 'n'), ('wish', 'n'), ('could', 'n'), ('reach', 'v'), ('level', 'a'), ('aesthetic', 'a'), ('mastery', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('demonstrates', 'v'), ('gate', 'a'), ('counterintuitive', 'a'), ('hope', 'n'), ('new', 'a'), ('amc', 'a'), ('drama', 'n'), ('gets', 'v'), ('messier', 'a'), ('less', 'r'), ('controlled', 'a'), ('less', 'r'), ('perfectionist', 'a'), ('tendencies', 'n')]",show wish could reach level aesthetic mastery well call saul demonstrate gate counterintuitive hope new amc drama get messy less controlled less perfectionist tendency
66,Tim Goodman,True,Hollywood Reporter,fresh,"['saul', 'much', 'beast', 'fairly', 'clear', 'departure', 'stylistically', 'breaking', 'bad', 'drama', 'wholly', 'different', 'roots', 'well']",http://www.hollywoodreporter.com/review/better-call-saul-tv-review-765600,"Jan 22, 2015",1,en,"[('saul', 'RB'), ('much', 'JJ'), ('beast', 'IN'), ('fairly', 'RB'), ('clear', 'JJ'), ('departure', 'NN'), ('stylistically', 'RB'), ('breaking', 'VBG'), ('bad', 'JJ'), ('drama', 'NN'), ('wholly', 'RB'), ('different', 'JJ'), ('roots', 'NNS'), ('well', 'RB')]","[('saul', 'r'), ('much', 'a'), ('beast', 'n'), ('fairly', 'r'), ('clear', 'a'), ('departure', 'n'), ('stylistically', 'r'), ('breaking', 'v'), ('bad', 'a'), ('drama', 'n'), ('wholly', 'r'), ('different', 'a'), ('roots', 'n'), ('well', 'r')]",saul much beast fairly clear departure stylistically break bad drama wholly different root well
67,Brian Lowry,True,Variety,fresh,"['essentially', 'saul', 'extended', 'origin', 'story', 'possessing', 'bad', ""'s"", 'flavor', 'black', 'comedy', 'least', 'initially', 'lacking', 'emotional', 'core', 'dictates', 'mixed', 'verdict', 'creative', 'auspices', 'nevertheless', 'bode', 'well']",http://variety.com/2015/tv/reviews/tv-review-better-call-saul-1201409820/,"Jan 21, 2015",1,en,"[('essentially', 'RB'), ('saul', 'VB'), ('extended', 'JJ'), ('origin', 'NN'), ('story', 'NN'), ('possessing', 'VBG'), ('bad', 'JJ'), (""'s"", 'POS'), ('flavor', 'NN'), ('black', 'JJ'), ('comedy', 'NN'), ('least', 'JJS'), ('initially', 'RB'), ('lacking', 'VBG'), ('emotional', 'JJ'), ('core', 'NN'), ('dictates', 'NNS'), ('mixed', 'JJ'), ('verdict', 'VBP'), ('creative', 'JJ'), ('auspices', 'NNS'), ('nevertheless', 'RB'), ('bode', 'RB'), ('well', 'RB')]","[('essentially', 'r'), ('saul', 'v'), ('extended', 'a'), ('origin', 'n'), ('story', 'n'), ('possessing', 'v'), ('bad', 'a'), (""'s"", 'n'), ('flavor', 'n'), ('black', 'a'), ('comedy', 'n'), ('least', 'a'), ('initially', 'r'), ('lacking', 'v'), ('emotional', 'a'), ('core', 'n'), ('dictates', 'n'), ('mixed', 'a'), ('verdict', 'v'), ('creative', 'a'), ('auspices', 'n'), ('nevertheless', 'r'), ('bode', 'r'), ('well', 'r')]",essentially saul extended origin story possess bad 's flavor black comedy least initially lack emotional core dictate mixed verdict creative auspex nevertheless bode well
68,Alan Sepinwall,True,HitFix,fresh,"['like', 'predecessor', 'earliest', 'days', 'saul', 'moving', 'slowly', 'methodically', 'revealing', 'bit', 'time', 'promise', 'early', 'movements']",http://www.hitfix.com/whats-alan-watching/review-better-call-saul-a-breaking-bad-prequel-with-promise,"Jan 21, 2015",1,en,"[('like', 'IN'), ('predecessor', 'NN'), ('earliest', 'JJS'), ('days', 'NNS'), ('saul', 'VBP'), ('moving', 'VBG'), ('slowly', 'RB'), ('methodically', 'RB'), ('revealing', 'VBG'), ('bit', 'NN'), ('time', 'NN'), ('promise', 'VB'), ('early', 'JJ'), ('movements', 'NNS')]","[('like', 'n'), ('predecessor', 'n'), ('earliest', 'a'), ('days', 'n'), ('saul', 'v'), ('moving', 'v'), ('slowly', 'r'), ('methodically', 'r'), ('revealing', 'v'), ('bit', 'n'), ('time', 'n'), ('promise', 'v'), ('early', 'a'), ('movements', 'n')]",like predecessor early day saul move slowly methodically reveal bit time promise early movement
69,Hank Stuever,True,Washington Post,fresh,"['starting', 'base', 'strong', 'feeling', 'better', 'call', 'saul', 'climb', 'back', 'mesa', 'going', 'complicated', 'journey']",http://www.washingtonpost.com/entertainment/tv/amcs-better-call-saul-every-sleazeball-has-a-story-to-tell/2015/02/03/680b5fb2-a643-11e4-a2b2-776095f393b2_story.html,"Jan 13, 2015",1,en,"[('starting', 'VBG'), ('base', 'NN'), ('strong', 'JJ'), ('feeling', 'NN'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('climb', 'NN'), ('back', 'RB'), ('mesa', 'VBZ'), ('going', 'VBG'), ('complicated', 'VBN'), ('journey', 'NN')]","[('starting', 'v'), ('base', 'n'), ('strong', 'a'), ('feeling', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('climb', 'n'), ('back', 'r'), ('mesa', 'v'), ('going', 'v'), ('complicated', 'v'), ('journey', 'n')]",start base strong feeling well call saul climb back mesa go complicate journey
70,Oliver Whitney,False,ScreenCrush,fresh,"['already', 'know', 'jimmy', 'eventually', 'ends', 'better', 'call', 'saul', 'charts', 'path', 'deeper', 'corruption', 'gilligan', ""'s"", 'spinoff', 'bound', 'get', 'addictive']",http://screencrush.com/better-call-saul-season-2-review/,"Jun 18, 2018",2,en,"[('already', 'RB'), ('know', 'VB'), ('jimmy', 'NNS'), ('eventually', 'RB'), ('ends', 'VBZ'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('charts', 'VBZ'), ('path', 'NN'), ('deeper', 'NN'), ('corruption', 'NN'), ('gilligan', 'NN'), (""'s"", 'POS'), ('spinoff', 'NN'), ('bound', 'NN'), ('get', 'VBP'), ('addictive', 'JJ')]","[('already', 'r'), ('know', 'v'), ('jimmy', 'n'), ('eventually', 'r'), ('ends', 'v'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('charts', 'v'), ('path', 'n'), ('deeper', 'n'), ('corruption', 'n'), ('gilligan', 'n'), (""'s"", 'n'), ('spinoff', 'n'), ('bound', 'n'), ('get', 'v'), ('addictive', 'a')]",already know jimmy eventually end well call saul chart path deeper corruption gilligan 's spinoff bound get addictive
71,Pat Stacey,False,The Herald (Ireland),fresh,"['one', 'mouth-watering', 'instalment', 'promises', 'much', 'fun', 'first', 'one']",http://www.independent.ie/entertainment/television/tv-reviews/better-call-saul-season-2-first-episode-review-quietly-cleverly-propulsive-34460979.html,"Oct 17, 2017",2,en,"[('one', 'CD'), ('mouth-watering', 'JJ'), ('instalment', 'NN'), ('promises', 'NNS'), ('much', 'RB'), ('fun', 'VBP'), ('first', 'RB'), ('one', 'CD')]","[('one', 'n'), ('mouth-watering', 'a'), ('instalment', 'n'), ('promises', 'n'), ('much', 'r'), ('fun', 'v'), ('first', 'r'), ('one', 'n')]",one mouth-watering instalment promise much fun first one
72,Judy Berman,True,Esquire Magazine,fresh,"['better', 'call', 'saul', 'points', 'way', 'new', 'sort', 'tv', 'drama-one', 'takes', 'flawed', 'characters', 'given', 'uses', 'flaws', 'challenge', 'assumptions', '``', 'good', ""''"", '``', 'bad', ""''"", 'even', 'mean']",http://www.esquire.com/entertainment/tv/news/a44079/better-call-saul-season-two-recap/,"Sep 21, 2017",2,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('points', 'NNS'), ('way', 'NN'), ('new', 'JJ'), ('sort', 'JJ'), ('tv', 'NN'), ('drama-one', 'NN'), ('takes', 'VBZ'), ('flawed', 'VBN'), ('characters', 'NNS'), ('given', 'VBN'), ('uses', 'NNS'), ('flaws', 'VBP'), ('challenge', 'VBP'), ('assumptions', 'NNS'), ('``', '``'), ('good', 'JJ'), (""''"", ""''""), ('``', '``'), ('bad', 'JJ'), (""''"", ""''""), ('even', 'RB'), ('mean', 'VB')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('points', 'n'), ('way', 'n'), ('new', 'a'), ('sort', 'a'), ('tv', 'n'), ('drama-one', 'n'), ('takes', 'v'), ('flawed', 'v'), ('characters', 'n'), ('given', 'v'), ('uses', 'n'), ('flaws', 'v'), ('challenge', 'v'), ('assumptions', 'n'), ('``', 'n'), ('good', 'a'), (""''"", 'n'), ('``', 'n'), ('bad', 'a'), (""''"", 'n'), ('even', 'r'), ('mean', 'v')]",well call saul point way new sort tv drama-one take flaw character give us flaw challenge assumption `` good '' `` bad '' even mean
73,Pattie Pegler,False,Stuff.co.nz,fresh,"['lazy', 'shortcuts', 'writing', 'excellent', 'plot', 'great', 'held', 'together', 'compelling', 'array', 'characters']",http://www.stuff.co.nz/entertainment/tv-radio/76876177/tv-review-no-activity-better-call-saul,"Apr 19, 2017",2,en,"[('lazy', 'JJ'), ('shortcuts', 'NNS'), ('writing', 'VBG'), ('excellent', 'JJ'), ('plot', 'NN'), ('great', 'JJ'), ('held', 'VBN'), ('together', 'RB'), ('compelling', 'JJ'), ('array', 'NN'), ('characters', 'NNS')]","[('lazy', 'a'), ('shortcuts', 'n'), ('writing', 'v'), ('excellent', 'a'), ('plot', 'n'), ('great', 'a'), ('held', 'v'), ('together', 'r'), ('compelling', 'a'), ('array', 'n'), ('characters', 'n')]",lazy shortcut write excellent plot great hold together compelling array character
74,Francine Prose,False,The New York Review of Books,fresh,"['new', 'season', 'proven', 'even', 'stronger', 'funnier', 'focused', 'first']",http://www.nybooks.com/daily/2016/04/22/better-call-saul-season-two-ballad-slippin-jimmy/,"Mar 28, 2017",2,en,"[('new', 'JJ'), ('season', 'NN'), ('proven', 'RB'), ('even', 'RB'), ('stronger', 'JJR'), ('funnier', 'RBR'), ('focused', 'VBD'), ('first', 'RB')]","[('new', 'a'), ('season', 'n'), ('proven', 'r'), ('even', 'r'), ('stronger', 'a'), ('funnier', 'r'), ('focused', 'v'), ('first', 'r')]",new season proven even strong funnier focus first
75,Inkoo Kang,True,MTV,fresh,"['jimmy', ""'s"", 'thorny', 'relationships', '...', 'made', 'involving', 'elements', 'better', 'call', 'saul', ""'s"", 'sorrowful', 'emotionally', 'knotty', 'fantastic', 'follow-up', 'season']",http://www.mtv.com/news/2869971/gimme-jimmy-better-call-saul-second-season/,"Apr 20, 2016",2,en,"[('jimmy', 'NN'), (""'s"", 'POS'), ('thorny', 'JJ'), ('relationships', 'NNS'), ('...', ':'), ('made', 'VBD'), ('involving', 'VBG'), ('elements', 'NNS'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), (""'s"", 'POS'), ('sorrowful', 'JJ'), ('emotionally', 'RB'), ('knotty', 'JJ'), ('fantastic', 'JJ'), ('follow-up', 'NN'), ('season', 'NN')]","[('jimmy', 'n'), (""'s"", 'n'), ('thorny', 'a'), ('relationships', 'n'), ('...', 'n'), ('made', 'v'), ('involving', 'v'), ('elements', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), (""'s"", 'n'), ('sorrowful', 'a'), ('emotionally', 'r'), ('knotty', 'a'), ('fantastic', 'a'), ('follow-up', 'n'), ('season', 'n')]",jimmy 's thorny relationship ... make involve element well call saul 's sorrowful emotionally knotty fantastic follow-up season
76,James Poniewozik,True,New York Times,fresh,"['entering', 'second', '...', 'better', 'call', 'saul', 'best', 'drama', 'tv', 'one', 'unusual', 'daring']",http://www.nytimes.com/2016/02/15/arts/television/review-better-call-saul-quirky-and-absorbing-in-season-opener.html?_r=1,"Apr 6, 2016",2,en,"[('entering', 'VBG'), ('second', 'NN'), ('...', ':'), ('better', 'JJR'), ('call', 'NN'), ('saul', 'NN'), ('best', 'JJS'), ('drama', 'NN'), ('tv', 'NN'), ('one', 'CD'), ('unusual', 'JJ'), ('daring', 'NN')]","[('entering', 'v'), ('second', 'n'), ('...', 'n'), ('better', 'a'), ('call', 'n'), ('saul', 'n'), ('best', 'a'), ('drama', 'n'), ('tv', 'n'), ('one', 'n'), ('unusual', 'a'), ('daring', 'n')]",enter second ... good call saul best drama tv one unusual daring
77,Allison Keene,True,Collider,fresh,"['better', 'call', 'saul', ""'s"", 'new', 'season', 'jumps', 'right', 'back', 'sandpiper', 'case', 'law', 'firm', 'culture', 'chuck', 'jimmy', ""'s"", 'now-frosty', 'relationship', 'well', 'jimmy', ""'s"", 'budding', 'romance', 'kim', 'association', 'mike']",http://collider.com/better-call-saul-season-2-review/,"Mar 10, 2016",2,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), (""'s"", 'POS'), ('new', 'JJ'), ('season', 'NN'), ('jumps', 'NNS'), ('right', 'RB'), ('back', 'RB'), ('sandpiper', 'JJ'), ('case', 'NN'), ('law', 'NN'), ('firm', 'NN'), ('culture', 'NN'), ('chuck', 'VBD'), ('jimmy', 'NN'), (""'s"", 'POS'), ('now-frosty', 'JJ'), ('relationship', 'NN'), ('well', 'RB'), ('jimmy', 'NN'), (""'s"", 'POS'), ('budding', 'NN'), ('romance', 'NN'), ('kim', 'NN'), ('association', 'NN'), ('mike', 'NN')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), (""'s"", 'n'), ('new', 'a'), ('season', 'n'), ('jumps', 'n'), ('right', 'r'), ('back', 'r'), ('sandpiper', 'a'), ('case', 'n'), ('law', 'n'), ('firm', 'n'), ('culture', 'n'), ('chuck', 'v'), ('jimmy', 'n'), (""'s"", 'n'), ('now-frosty', 'a'), ('relationship', 'n'), ('well', 'r'), ('jimmy', 'n'), (""'s"", 'n'), ('budding', 'n'), ('romance', 'n'), ('kim', 'n'), ('association', 'n'), ('mike', 'n')]",well call saul 's new season jump right back sandpiper case law firm culture chuck jimmy 's now-frosty relationship well jimmy 's budding romance kim association mike
